reportNumber,incidentYear,cause,installationYear,material
20110088,2011,OTHER,,
20110089,2011,MECHANICAL_DAMAGE,1985,CARBON STEEL
20110090,2011,MECHANICAL_DAMAGE,,
20110092,2011,OTHER,,
20110093,2011,OTHER,,
20110094,2010,MECHANICAL_DAMAGE,1988,CARBON STEEL
20110095,2011,MECHANICAL_DAMAGE,,
20110096,2011,MECHANICAL_DAMAGE,,
20110097,2011,OTHER,,
20110098,2011,MECHANICAL_DAMAGE,,
20110099,2011,INTERNAL_CORROSION,,CARBON STEEL
20110101,2011,OTHER,,
20110102,2011,MECHANICAL_DAMAGE,,
20110103,2011,OTHER,,
20110104,2011,MECHANICAL_DAMAGE,1955,CARBON STEEL
20110105,2011,MATERIAL_FAILURE,1962,CARBON STEEL
20110106,2011,MATERIAL_FAILURE,2010,CARBON STEEL
20110107,2011,OTHER,,
20110108,2011,MECHANICAL_DAMAGE,,
20110109,2011,OTHER,,
20110110,2011,MECHANICAL_DAMAGE,1999,MATERIAL OTHER THAN CARBON STEEL
20110111,2011,OTHER,,
20110112,2011,OTHER,1963,CARBON STEEL
20110113,2011,OTHER,,CARBON STEEL
20110114,2011,MATERIAL_FAILURE,,
20110115,2011,MECHANICAL_DAMAGE,,
20110116,2011,OTHER,1940,CARBON STEEL
20110117,2011,MECHANICAL_DAMAGE,,CARBON STEEL
20110118,2011,EXTERNAL_CORROSION,1955,CARBON STEEL
20110119,2011,MECHANICAL_DAMAGE,,
20110120,2011,EXTERNAL_CORROSION,1951,CARBON STEEL
20110121,2011,MATERIAL_FAILURE,1954,CARBON STEEL
20110122,2011,MECHANICAL_DAMAGE,,
20110123,2011,MECHANICAL_DAMAGE,,
20110124,2011,MECHANICAL_DAMAGE,,
20110125,2011,MECHANICAL_DAMAGE,,
20110126,2011,EXTERNAL_CORROSION,1952,CARBON STEEL
20110127,2011,MECHANICAL_DAMAGE,,
20110128,2011,MECHANICAL_DAMAGE,,
20110129,2011,MECHANICAL_DAMAGE,2009,CARBON STEEL
20110130,2011,INTERNAL_CORROSION,1950,CARBON STEEL
20110131,2011,INTERNAL_CORROSION,,
20110132,2011,EXTERNAL_CORROSION,,
20110133,2011,MECHANICAL_DAMAGE,,
20110134,2011,MECHANICAL_DAMAGE,,
20110135,2011,MECHANICAL_DAMAGE,,
20110136,2011,OTHER,,
20110137,2011,MECHANICAL_DAMAGE,,
20110138,2011,EXTERNAL_CORROSION,1961,CARBON STEEL
20110139,2011,MATERIAL_FAILURE,,
20110140,2011,MECHANICAL_DAMAGE,2002,MATERIAL OTHER THAN CARBON STEEL
20110141,2011,EXTERNAL_CORROSION,1967,CARBON STEEL
20110142,2011,MECHANICAL_DAMAGE,,
20110143,2011,INTERNAL_CORROSION,,
20110144,2011,MECHANICAL_DAMAGE,1996,CARBON STEEL
20110145,2011,MECHANICAL_DAMAGE,,
20110146,2011,MECHANICAL_DAMAGE,1987,CARBON STEEL
20110147,2011,OTHER,,
20110148,2011,MECHANICAL_DAMAGE,1999,MATERIAL OTHER THAN CARBON STEEL
20110149,2011,MECHANICAL_DAMAGE,2010,CARBON STEEL
20110150,2011,MECHANICAL_DAMAGE,,
20110153,2011,MECHANICAL_DAMAGE,1969,CARBON STEEL
20110154,2011,MECHANICAL_DAMAGE,,
20110155,2010,OTHER,1968,CARBON STEEL
20110156,2011,INTERNAL_CORROSION,1952,CARBON STEEL
20110157,2011,MECHANICAL_DAMAGE,,
20110159,2011,MECHANICAL_DAMAGE,,
20110160,2011,MECHANICAL_DAMAGE,,
20110163,2011,MECHANICAL_DAMAGE,,
20110165,2011,INTERNAL_CORROSION,1973,CARBON STEEL
20110171,2011,MECHANICAL_DAMAGE,2009,CARBON STEEL
20110172,2011,OTHER,1952,CARBON STEEL
20110176,2011,OTHER,2011,MATERIAL OTHER THAN CARBON STEEL
20110178,2011,OTHER,2011,CARBON STEEL
20110180,2011,EXTERNAL_CORROSION,,CARBON STEEL
20110181,2011,MECHANICAL_DAMAGE,2008,CARBON STEEL
20110182,2011,MECHANICAL_DAMAGE,,
20110183,2011,OTHER,,
20110185,2011,MECHANICAL_DAMAGE,,
20110187,2011,MECHANICAL_DAMAGE,2007,CARBON STEEL
20110188,2011,INTERNAL_CORROSION,,
20110189,2011,EXTERNAL_CORROSION,1966,CARBON STEEL
20110191,2011,MECHANICAL_DAMAGE,,CARBON STEEL
20110192,2011,EXTERNAL_CORROSION,UNKNOWN,CARBON STEEL
20110196,2011,MECHANICAL_DAMAGE,,
20110197,2011,MECHANICAL_DAMAGE,,
20110201,2011,MECHANICAL_DAMAGE,,
20110206,2011,MATERIAL_FAILURE,,CARBON STEEL
20110208,2011,MECHANICAL_DAMAGE,2009,CARBON STEEL
